artwork_desc,artwork_name
In the series Frutas concentration and juxtaposition recall visions of places saturated with objects fabrics painted decorations people attires urban and natural landscapes all at once In these reminisced scenarios be it a market a jungle or a plaza everything is happening at the same time sounds interactions exchanges offerings smells services textures artifacts and organic matter Different cultures both resiliently ancient and newer imposed and assimilated cohabit in impossibly harmonious chaos These paintings range from a palette of all bright clean and lively greens pinks yellows and blues to an array of ambiguous shades of brown ,Frutas Friestail 7
The series Paisaje del olvido presents a continuation of Sol Calero s recent body of work immersed in the notion of memory and its place in the act of painting In her trajectory Calero has questioned the idea of projection in many different ways how do cultures imagine and present themselves How do we see and describe others What expectations do we have of places and societies labelled as exotic ,"Paisaje, Villa Arson I (Paisaje del Olvido) "
This version of Philippe Parreno s helium fish balloons My Room is Another Fish Bowl was conceived for his commission at the Tate Modern Turbine Hall London 2016 Parreno s fish shaped Mylar balloons float at various heights moving gently through the Tate Modern Turbine Hall in response to human interaction and climatic changes In constant delicate motion the fish indeed appear as if in a large architectural fishbowl Through the fish s ceaseless movement Parreno hopes to activate the senses beyond the visual focusing on how we experience the unfolding of time as an active narrative phenomenon a kind of performance The three species of fish that appear in the Turbine Hall Salmon Smelt and Roache are all native to the Thames but are endangered ,My Room is Another Fish Bowl
 ,La Bleu J'adoré NO.6- People / 《致挚爱的蓝》之六-人文
 ,Girl and wolf
 ,vb84.044.nt
 ,Tripe_06 Pugahm Myo. Thapinyu Pagoda
 ,jpeg CA04
Dimensions canvas 1800 x 1250 x 35mm framed 1830 x 1285 x 55mm ,Untitled
Installation views at his solo exhibition Open Space http anomalytokyo com en exhibition E5 80 8B E5 B1 95 e3 80 80 E3 81 B2 E3 82 8D E3 81 B0 Yosuke Takayama artist page http anomalytokyo com en artist yosuke takayama ,Untitled (Head #63)
 ,DNA: White Painting II
The dimensions with frame are 66x81cm the dimensions of the image are 46x61cm ,Shanhu Pond
The dimensions with frame are 71x56cm the dimensions of the image are 51x36cm ,Yuntan Waterfall
The dimensions with frame are 81x66cm the dimensions of the image are 61x46cm ,Waterfall at Mount Lu
 ,Flare-up
 ,Untitled (with fruits) (One Minute Forever)
 ,Bridged – 2
Motohiko Odani artist page http anomalytokyo com en artist motohiko odani For your viewing please ask the gallery for further information ,SARUSARU Alert and Warning
 ,Spring of Taroko
 ,1982/011
 ,The Intermediate – Carbonous Linked Rings Edged Rocky Island
 ,Old Twosome Crops – Sesame and Shiso
Working in the space between cinema and contemporary art Apichatpong Weerasethakul creates installations videos short and feature films that are often non linear and transmit a strong sense of dislocation and otherworldliness Through the manipulation of time and light Weerasethakul constructs tenuous bridges for the viewer to travel between the real and mythical individual and collective corporeal and chimeric In recent years some of his most important solo exhibitions and screenings have included The Serenity of Madness Oklahoma City Museum of Art United States 2018 Luminous Shadows Contemporary Art Centre CAC Vilnius Lithuania 2018 The Serenity of Madness Museum of Contemporary Art and Design MCAD Manila Philippines School of the Art Institute of Chicago United States 2017 and Para Site Hong Kong China 2016 Tate Film Pioneers Apichatpong Weerasethakul Mirages Tate Modern London 2016 Fireworks Art Gallery of Ontario AGO Toronto Canada 2015 and SCAI The Bathhouse Tokyo 2014 Photophobia Stenersenmuseet Oslo Norway 2013 Primitive HangarBicocca Milan Italy 2013 For Tomorrow For Tonight Ullens Center for Contemporary Art UCCA Beijing 2012 and IMMA Irish Museum of Modern Art Dublin 2011 Apichatpong Weerasethakul Primitive New Museum New York 2011 and Mus e d art moderne de la Ville de Paris 2009 For Tomorrow For Tonight Retrospektive Apichatpong Weerasethakul Filmmuseum M nchner Stadtmuseum Munich Germany 2009 among many others ,Mr. Electrico (For Ray Bradbury)
Haegue Yang seeks to communicate without language in a primordial and visual way often complementing her vocabulary of visual abstraction with sensory experiences that include scent sound light and tactility Combining industrial fabrication and folk craftsmanship Yang explores the affective power of materials in destabilizing the distinction between the modern and pre modern A selection of recent and notable exhibitions include Handles The Museum of Modern Art MoMA New York In the Cone of Uncertainty The Bass Museum of Art Miami Tracing Movements South London Gallery United Kingdom 2019 Chronotopic Travers es La Panac e Montpellier France 2019 Tightrope Walking and its Wordless Shadow Fondazione Furla Milan Italy 2018 Haegue Yang ETA 1994 2018 Museum Ludwig Cologne Germany 2018 Silo of Silence Clicked Core KINDL Centre for Contemporary Art Berlin 2017 18 Lingering Nous Centre Georges Pompidou Paris 2016 An Opaque Wind Park in Six Folds Serralves Foundation Museum of Contemporary Art Porto Portugal 2016 The Malady of Death crire et Lire commissioned by M Sunbeam Theatre Hong Kong 2015 Shooting the Elephant Thinking the Elephant Leeum Samsung Museum of Art Seoul South Korea 2015 Uneven Arrivals Ullens Center for Contemporary Art UCCA Beijing China 2015 quivoques Family of Equivocations Mus e d Art moderne et contemporain de Strasbourg MAMCS and Aubette 1928 Strasbourg France 2013 Honesty Printed on Modesty STPI Creative Workshop Gallery Singapore 2013 Accommodating the Epic Dispersion Haus der Kunst Munich Germany 2012 Arrivals Kunsthaus Bregenz Austria 2011 Voice and Wind New Museum New York 2010 Symmetric Inequality Sala Rekalde Bilbao Spain 2008 Asymmetric Equality REDCAT CalArts downtown center for contemporary arts Los Angeles 2008 ,Non-Folding–Geometric Tipping #41
Although Rirkrit Tiravanija s diverse artistic production eludes classification he has accurately described it as relational a body work focused on real time experience and exchange that breaks down barriers between object and spectator questioning the art object as fetish as well as the sacredness of the gallery and museum display Some of Rirkrit Tiravanija s recent individual exhibitions include untitled 2018 the infinite dimensions of smallness Ng Teng Fong Roof Garden Commission series National Gallery Singapore 2018 The fire is gone but we have the light Rirkrit Tiravanija Korakrit Arunanondchai Johnson Museum of Art Ithaca United States 2016 Tomorrow is the Question Stedelijk Museum Amsterdam 2016 U F O Universal Fantastic Occupation Museo Jumex Mexico City 2015 untitled 2015 tomorrow is on our tongue as today pass from our lips Centro Cultural do Banco do Brasil CCBB Distrito Federal Brasilia 2015 Rirkrit Tiravanija Tomorrow is the Question Garage Museum of Contemporary Art Moscow 2015 FOCUS Rirkrit Tiravanija Modern Art Museum of Fort Worth United States 2014 Without Reality There Is No Utopia Yerba Buena Center for the Arts YBCA San Francisco United States 2013 Portraits Tate Modern London 2013 On air Centre Georges Pompidou Paris 2012 Print Out Museum of Modern Art New York 2012 Rirkrit Tiravanija Chew the Fat Mildred Lane Kemper Art Museum St Louis United States 2009 Rirkrit Tiravanija Demonstration Drawings Drawing Center New York 2008 among others ,"untitled 2017 (fear eats the soul/new york post, tuesday, january 24, 2017)"
Although Rirkrit Tiravanija s diverse artistic production eludes classification he has accurately described it as relational a body work focused on real time experience and exchange that breaks down barriers between object and spectator questioning the art object as fetish as well as the sacredness of the gallery and museum display Some of Rirkrit Tiravanija s recent individual exhibitions include untitled 2018 the infinite dimensions of smallness Ng Teng Fong Roof Garden Commission series National Gallery Singapore 2018 The fire is gone but we have the light Rirkrit Tiravanija Korakrit Arunanondchai Johnson Museum of Art Ithaca United States 2016 Tomorrow is the Question Stedelijk Museum Amsterdam 2016 U F O Universal Fantastic Occupation Museo Jumex Mexico City 2015 untitled 2015 tomorrow is on our tongue as today pass from our lips Centro Cultural do Banco do Brasil CCBB Distrito Federal Brasilia 2015 Rirkrit Tiravanija Tomorrow is the Question Garage Museum of Contemporary Art Moscow 2015 FOCUS Rirkrit Tiravanija Modern Art Museum of Fort Worth United States 2014 Without Reality There Is No Utopia Yerba Buena Center for the Arts YBCA San Francisco United States 2013 Portraits Tate Modern London 2013 On air Centre Georges Pompidou Paris 2012 Print Out Museum of Modern Art New York 2012 Rirkrit Tiravanija Chew the Fat Mildred Lane Kemper Art Museum St Louis United States 2009 Rirkrit Tiravanija Demonstration Drawings Drawing Center New York 2008 among others ,"untitled 2017 (eclipse of the soul, the nation, june 25, 2014)"
Haegue Yang seeks to communicate without language in a primordial and visual way often complementing her vocabulary of visual abstraction with sensory experiences that include scent sound light and tactility Combining industrial fabrication and folk craftsmanship Yang explores the affective power of materials in destabilizing the distinction between the modern and pre modern A selection of recent and notable exhibitions include Handles The Museum of Modern Art MoMA New York In the Cone of Uncertainty The Bass Museum of Art Miami Tracing Movements South London Gallery United Kingdom 2019 Chronotopic Travers es La Panac e Montpellier France 2019 Tightrope Walking and its Wordless Shadow Fondazione Furla Milan Italy 2018 Haegue Yang ETA 1994 2018 Museum Ludwig Cologne Germany 2018 Silo of Silence Clicked Core KINDL Centre for Contemporary Art Berlin 2017 18 Lingering Nous Centre Georges Pompidou Paris 2016 An Opaque Wind Park in Six Folds Serralves Foundation Museum of Contemporary Art Porto Portugal 2016 The Malady of Death crire et Lire commissioned by M Sunbeam Theatre Hong Kong 2015 Shooting the Elephant Thinking the Elephant Leeum Samsung Museum of Art Seoul South Korea 2015 Uneven Arrivals Ullens Center for Contemporary Art UCCA Beijing China 2015 quivoques Family of Equivocations Mus e d Art moderne et contemporain de Strasbourg MAMCS and Aubette 1928 Strasbourg France 2013 Honesty Printed on Modesty STPI Creative Workshop Gallery Singapore 2013 Accommodating the Epic Dispersion Haus der Kunst Munich Germany 2012 Arrivals Kunsthaus Bregenz Austria 2011 Voice and Wind New Museum New York 2010 Symmetric Inequality Sala Rekalde Bilbao Spain 2008 Asymmetric Equality REDCAT CalArts downtown center for contemporary arts Los Angeles 2008 ,Sonic Sphere with Enthralling Tetrad – Horizontally-striped Brass and Nickel
 ,The Bat
quadriptych outer panels 200 x 120 cm innerpanels 200 x 140 cm overall 200 x 520 cm ,This Fearful Country (Enchanted Trifles)
 ,The Actress
 ,The Woman in Scenery
 ,Receptor (willow-green)
 ,Spine #2
LIANG Wei b 1981 China is one of China s most original new voices in contemporary painting Her work takes apart imagery of urban environments architecture machinery cinema and classical art to reassemble them into fantastical compositions that suggest an alternative physical plane of existence These meticulous compositions look abstract at first glance but the eye quickly starts to discern familiar shapes and structures that form new narratives in the mind of the viewer The lack of focal point or rather seemingly multiple focal points of her paintings suggest classical Chinese landscapes in which physical space is painted from both the perspective of the viewer and people in the composition The eye follows the narrative but also explores the landscape as it does so In a similar fashion when faced with Liang Wei s works the viewer s eye is guided to different points in the composition by the structure and energy of the brush strokes making discoveries as it does so The extremely detailed nature of Liang Wei work necessitates a long creative process The compositions are grown organically out of chaos but resolve in a sense of equilibrium Many stories seem to be hidden behind the clusters of shapes waiting to burst out from the explosion of brush strokes Her work like contemporary society attempts to build utopian visions out of dystopian realities ,Synchronized Emotion
 ,Good Shepherds’ Walk
Since the late 1960s Lavier has created a complex and eclectic universe based on the continuous exploration of the boundaries between painting and sculpture photography and painting reality and imagination the copy and the original Through light hearted humor and sarcasm Lavier has reworked the notion of the canvas and moreover of the art work in general via juxtapositions and hybridizations creations that are generated by his thoughts on consumerism and authorship With his well known intervention the Van Gogh technique the artist applies a thick layer of impasto on ordinary objects like a piano a radio a refrigerator transforming them from everyday objects into works of art Lavier is a persistent explorer of reality through his artworks he challenges and questions the notion of the identity of the artist and the relationship between the artists ego and the rest of the world each work of his is a sardonic dare towards the insufferable codes and rules of the art system and of contemporary culture ,"""Gard"""
Nikos Navridis b 1958 Greece is inspired by the dramatic and literary oeuvre of Samuel Beckett selecting quotations from the writer s texts that behave in an autonomous and independent way The pieces large golden coated surfaces act as a substratum where the luminous phrases of the texts are projected emphasizing the equivocal significance of gold which nowadays acquires an apropos dimension ,"""Words are all we have"""
Rallou Panagiotou b 1978 Greece creates sculptural topologies with composite materiality and formal conciseness Assembled from highly mediated fragments of built environments anatomized commodities and traces of gestures her work collapses distinctions between different orders of objects and technologies via a currency of emotions ,"""Lost in ABC"""
Susan Rothenberg was born in Buffalo New York in 1945 Her early works that came to prominence in the 1970s New York art world were mainly large acrylic figurative paintings of horses Since the 1990s her works are mostly reflections of her move from New York to New Mexico Rothenberg adopts oil painting and she finds a new interest in using the memory of observed and experienced events a riding accident a near fatal bee sting walking the dog a game of poker or dominoes as a source of inspiration for creating a painting With the use of thickly layered and intense brushwork her paintings acquire life and depict scenes from everyday life eIther an unpleasant event or a moment of remembrance A distinctive element also of these works is a tilted perspective which attributes to the work an eerily objective psychological edge ,Primo
Hyun Sook Song born in 1952 in Damyang Jeollanam do KR lives and works in Hamburg DE Hyun Sook Song grew up in a mountain village in Korea In 1972 she travelled to West Germany and soon after that she began to draw and to paint In doing so she often gave voice to her nostalgic memories of her beloved motherland Over several decades she created paintings with only a handful of motifs or themes clay pots silk ribbons draped around posts or woven textiles hung on a thread Song developed both a very distinctive style and a technique that blends elements from the West and the East She chose to use tempera a type of paint made by mixing pigments with egg yolk This technique was widely used in Western painting in the Middle Ages notably because of the paint s opaque character Song by contrast uses tempera in a way that is almost transparent the brushstrokes are economical but accurate Each brushstroke represents a single movement and there is no room for doubt Her artistic outlook has been heavily influenced by Eastern philosophy and calligraphy but also by her love of nature the body and her materials She sees painting as a performative happening She places the stretched canvas on the floor of her studio and balances above the painting on a simple wooden plank that is placed above it In doing so she is in a state of utter concentration and meditation The intensity of the painting enables her to work for only a few hours per day This does not prevent her from going to the studio every day to maintain her dexterity Although her formal language may be limited the variations appear endless The works can be approached from both an abstract meditative perspective and a figurative symbolic viewpoint The wooden poles refer to a simple form of shelter while the fabrics often suggest the age old tradition of ramie weaving in the region of her birth The paint that thins out as the line progresses symbolizes the finiteness of life and the dying out of hope A brushstroke is the ultimate proof of the painter s inner peace or turmoil and is always expressive In addition the brushstroke is always unique because the relation with the surface the scale and the light is always different Further proof of the importance of the brushstroke in Song s oeuvre is the fact that her titles are based on the number of movements that she needed to complete the work Hyun Sook Song s works can be compared to haiku short and simple but very powerful in terms of content ,7 Brushstrokes
Kees Goudzwaard born in 1958 in Utrecht NL lives and works in Antwerp BE At first sight the paintings by Kees Goudzwaard seem to be minimal colour studies constructed from rectangles of paper and masking tape but in fact only paint was used The artist first constructs a model using paper sheets transparent acetates and tape arranged over a coloured ground It often takes long periods of time before he arrives at the final composition then he transfers the exact same image to the canvas Paper and tape are thus used as substitutes for colour fields and lines The obsession of modernist painting with flatness and the negation of illusory space are of great interest to the artist His paintings challenge the borderline between abstraction illusion and reference to reality They are about painting construction of an image layer by layer ,Cultivation
Mircea Suciu born in 1978 in Baia Mare RO lives and works in Cluj RO Mircea Suciu works with different materials such as acrylic oil and often combines them with monoprint techniques For a long time his works were based on images he found in newspapers magazines and other media The themes he choses are mainly socio political and psychological orientated The artist has a particular interest in the way the individual appropriates the behaviour of the mass during manifestations and therefore loses his own identity Recently elements such as props curtains covered objects and people struggling with heavy entities like big balloons have appeared in his new works For Mircea Suciu the process is at least equally important as the final image He likes to work in series in order to exhaust the imagery and to transform them in a way that the viewer gets different perspectives on a certain topic Since last year he started making his own photographs so that he can combine different realities and visuals in one work Despite a complex and layered creation process the surface of each work has a unified quality Suciu envisions works that are difficult to define in time and space By using a staged process of creation destruction and restoration his surfaces seem to have suffered and give the impression of embodying an intense history Painting is a loaded and heavy medium that Mircea Suciu wants to honour This implicates a dialogue with the past but also with the future because as an artist he searches for new areas in painting by pushing limits and possibilities and looking for a position of his own in a contemporary world filled with new media ,Dazzle (Hallucination / Disintegration)
 ,Untitled
 ,Senza titolo
 ,"Concetto spaziale, Teatrino"
 ,Untitled Lamp Black no.12
 ,National
Dimension 30 5 x 18 1 cm ,Untitled (Duo)
 ,"""thought-form of the precipice between enlightenment and despair"""
 ,Ice Flow II
after the lost original 1972 work diptych ,Nubes/Disappearing Jaguar
 ,Breathing Bear Paw
The dimensions with frame are 66x81cm the dimensions of the image are 46x61cm ,Badouzi
The dimensions with frame are 120x80cm the dimensions of the image are 120x60cm ,Welcome Pine on Mt. Huang
 ,Family Portrait
 ,Untitled
 ,Impermanence — Winter Bud
 Real size 193 5 x 179 x 15 cm The hard brick wall is condensed with Xuan paper wax and resin The hard bricks and tiles are surrounded by soft Xuan paper declaring to break the old system and meanwhile relentlessly destroying the magnificent building constructed by hypocritical martyrs What things could last forever This work seems to be raising such questions The indestructible bricks are undoubtedly used as a permanent material to commemorate grand and glorious deeds but the final outcome of these constructions all inevitably become dust in history However those papers that are regarded as fragility and truly convey the civilized symbol are kept forever The strength of bricks and tiles is futile without cultural packaging When I envision the recent Gateways and Monuments of Lin Yan I am tempted to relinquish the excessive burden of theory in favor of a more clear and resonant idea that maybe the future is not so far away Maybe in fact the future is within our grasp within the silent interludes given to memory time and history Lin Yan The Gateway to the Future by Robert C Morgan EXHIBITED and LITERATURE National Museum of China Beijing China Corresponding Responding Works by American and Chinese Artists June July 2007 p 80 illustrated in color Chengdu Contemporary Art Museum Sichuan China REBOOT THE THIRD CHENGDU BIENNALE September October 2007 p 32 illustrated in color The Dresden State Art Collections Germany THE TRANSFORMING MARKS OF INK June 27 September 14 2008 Catalogue Robert C Morgan 2007 6 7 80 2007 9 10 32 2008 6 27 9 14 ,Monument #1 紀念碑 #1
The sculpture Sea Glass Equilibrium 2019 was inspired by the specific settings of the UCCA Dune Museum in Qinhuangdao While entering the rooms of the museum Chan noticed the ocean horizon behind the full glass window and she started conceiving a sculpture that responded to this unique environment Like all of her sculptures it started from an object found sitting by the dumpster across her studio two pieces of L shaped glass plates once components of a furniture piece Their colour was evocative of the hues of the ocean and reminiscent of a sea glass resurfacing from sea waters In the sculpture the two glass pieces are facing each other creating a sense of balance Two seashells are precariously resting between the two L shaped glass plates held together by two small concrete sculptures casted from plastic egg package containers Their shape recalls those of barnacles marine creatures living attached to rocks in the sea The fragile qualities of the egg packaging create a curious contrast to their negative counterpart the hard shell barnacles casted in hard weighted concrete They are in a state of equilibrium while bringing awareness to the horizon in the background At the same time multiple concrete forms are attached to and grow organically from the base of the sculpture like sea barnacles in their natural environment The round edged shape and the marine colour of the sculpture recall the glass that is worn down by waves and rocks Sea glass originates as pieces of glass from broken bottles dumped into the ocean which are rolled and tumbled in the ocean for years until all of their edges are rounded off It turns into a precious object that people collect and may even become a common DIY interior decor material making its way back into human home ,Seaglass Equilibrium
 ,Imaginary Boundary
Born in an industrial city in northeast China near Russia Zhang Yexing s b 1981 China technique got lots of influence from Soviet Union and east Europe His canvas is always heavily painted scrubbed and re covered with layers of oil and pigments Simplicity roughness and profundity co exist in a dynamic and harmonious way on the surface Like screenshots out of Wang Kar wei films the pictures in Yexing s paintings are hunted by loneliness and nostalgia Like the artist himself explained My works are combined with time space props and narration Moments make me excited and give me fantasies in which the real world becomes unreal and far away ,"""陷阱1 ( Trap 1)"""
Hyun Sook Song born in 1952 in Damyang Jeollanam do KR lives and works in Hamburg DE Hyun Sook Song grew up in a mountain village in Korea In 1972 she travelled to West Germany and soon after that she began to draw and to paint In doing so she often gave voice to her nostalgic memories of her beloved motherland Over several decades she created paintings with only a handful of motifs or themes clay pots silk ribbons draped around posts or woven textiles hung on a thread Song developed both a very distinctive style and a technique that blends elements from the West and the East She chose to use tempera a type of paint made by mixing pigments with egg yolk This technique was widely used in Western painting in the Middle Ages notably because of the paint s opaque character Song by contrast uses tempera in a way that is almost transparent the brushstrokes are economical but accurate Each brushstroke represents a single movement and there is no room for doubt Her artistic outlook has been heavily influenced by Eastern philosophy and calligraphy but also by her love of nature the body and her materials She sees painting as a performative happening She places the stretched canvas on the floor of her studio and balances above the painting on a simple wooden plank that is placed above it In doing so she is in a state of utter concentration and meditation The intensity of the painting enables her to work for only a few hours per day This does not prevent her from going to the studio every day to maintain her dexterity Although her formal language may be limited the variations appear endless The works can be approached from both an abstract meditative perspective and a figurative symbolic viewpoint The wooden poles refer to a simple form of shelter while the fabrics often suggest the age old tradition of ramie weaving in the region of her birth The paint that thins out as the line progresses symbolizes the finiteness of life and the dying out of hope A brushstroke is the ultimate proof of the painter s inner peace or turmoil and is always expressive In addition the brushstroke is always unique because the relation with the surface the scale and the light is always different Further proof of the importance of the brushstroke in Song s oeuvre is the fact that her titles are based on the number of movements that she needed to complete the work Hyun Sook Song s works can be compared to haiku short and simple but very powerful in terms of content ,Brushstrokes - Diagram
Micha l Borremans born 1963 in Geraardsbergen BE lives and works Ghent BE The films paintings and drawings by Belgian artist Micha l Borremans overwhelm the viewer through the use of deceleration precision and vortex His seductive works contain timeless images of inner drive and external force of the latent pressure involved in being human Behind a veil of stylistic perfection the artist simulates common rituals of interpretation and meaning His intensely atmospheric images are puzzles involving political and psychological patterns of perceiving the world which oscillate in a camouflaging fragile way between inexorable realism and nebulous distance Micha l Borremans created his new painting The Provider 2019 especially for the exhibition Convex Concave Belgian Contemporary Art at TANK in Shanghai curated by Dirk Snauwaert from WIELS in Brussels ,The Provider
Mark Manders born in 1968 in Volkel NL lives and works in Ronse BE The work of Mark Manders resembles a fictional building divided into separate rooms and levels of which the size and shape can never exactly be determined Potential shifts and extensions constantly threaten the cohesion of the ever expanding self portrait Manders works toward one big overarching moment that will bring together all his works continuously interconnected and in dialogue with each other As a sculptor Manders adheres to the tradition of bronze sculpture yet also incorporates contemporary materials in his work Blurring the line between reality and illusion it often becomes difficult to distinguish when Manders is actually integrating natural wood or just a painted wood imitation This also applies to the androgynous figures or faces that seem to have been fashioned out of wet clay creating the impression that they just left the artist s studio or conversely were abandoned by the artist mid work The illusion of peeling dry clay creates a sense of foreboding as if the sculpture could crumble into fine dust and disappear at any time There appears to be a definite separation between the sculpture and the person who realized it as if it was abandoned by its creator or could not be completed ,Unfired Clay Torso
 ,Concetto spaziale
 ,Senza titolo
 ,Trovatore
 ,A Lost Colour World
 ,The Return
 ,Solitary Tree in Blossom
 ,Three Tall Trees and Hurricane Sky
 ,Untitled
 ,Untitled Blue
 ,Untitled
 ,Fence and Broken Trees with Pink Sky
 ,Four Trees and Fence
 ,Dinamica senza nome
 ,Rajas
Dimension 30 5 x 17 5 cm ,Untitled (Trio)
 ,Vacuuming Nonagon Regime – Trustworthy #395
 ,Hesperos
 ,White tee #1
